# ./bin/go-tpc tpcc -H 127.0.0.1 -P 4000 -D tpcc --warehouses 10 run                                                     
[Current] PAYMENT - Takes(s): 10.0, Count: 44, TPM: 264.5, Sum(ms): 4201, Avg(ms): 95, 90th(ms): 256, 99th(ms): 1500, 99.9th(ms): 1500
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 5, TPM: 30.5, Sum(ms): 56, Avg(ms): 11, 90th(ms): 16, 99th(ms): 16, 99.9th(ms): 16
[Current] NEW_ORDER - Takes(s): 8.1, Count: 10, TPM: 74.1, Sum(ms): 6816, Avg(ms): 681, 90th(ms): 1500, 99th(ms): 4000, 99.9th(ms): 4000
[Current] ORDER_STATUS - Takes(s): 1.7, Count: 2, TPM: 72.6, Sum(ms): 11, Avg(ms): 5, 90th(ms): 8, 99th(ms): 8, 99.9th(ms): 8
[Current] PAYMENT - Takes(s): 7.0, Count: 11, TPM: 94.4, Sum(ms): 3455, Avg(ms): 314, 90th(ms): 1000, 99th(ms): 1000, 99.9th(ms): 1000
[Current] STOCK_LEVEL - Takes(s): 7.5, Count: 2, TPM: 16.0, Sum(ms): 29, Avg(ms): 14, 90th(ms): 16, 99th(ms): 16, 99.9th(ms): 16
[Current] DELIVERY - Takes(s): 8.0, Count: 5, TPM: 37.5, Sum(ms): 656, Avg(ms): 131, 90th(ms): 192, 99th(ms): 192, 99.9th(ms): 192
[Current] NEW_ORDER - Takes(s): 9.5, Count: 58, TPM: 367.7, Sum(ms): 4253, Avg(ms): 73, 90th(ms): 256, 99th(ms): 1000, 99.9th(ms): 1000
[Current] ORDER_STATUS - Takes(s): 8.7, Count: 9, TPM: 62.4, Sum(ms): 105, Avg(ms): 11, 90th(ms): 48, 99th(ms): 48, 99.9th(ms): 48
[Current] PAYMENT - Takes(s): 10.0, Count: 87, TPM: 524.1, Sum(ms): 4799, Avg(ms): 55, 90th(ms): 112, 99th(ms): 512, 99.9th(ms): 512
[Current] STOCK_LEVEL - Takes(s): 8.9, Count: 13, TPM: 88.1, Sum(ms): 148, Avg(ms): 11, 90th(ms): 16, 99th(ms): 24, 99.9th(ms): 24
[Current] DELIVERY - Takes(s): 9.4, Count: 7, TPM: 44.5, Sum(ms): 799, Avg(ms): 114, 90th(ms): 160, 99th(ms): 160, 99.9th(ms): 160
[Current] NEW_ORDER - Takes(s): 10.0, Count: 77, TPM: 463.4, Sum(ms): 4222, Avg(ms): 54, 90th(ms): 64, 99th(ms): 1000, 99.9th(ms): 1000
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 13, TPM: 78.9, Sum(ms): 86, Avg(ms): 6, 90th(ms): 8, 99th(ms): 12, 99.9th(ms): 12
[Current] PAYMENT - Takes(s): 10.0, Count: 86, TPM: 516.1, Sum(ms): 4181, Avg(ms): 48, 90th(ms): 48, 99th(ms): 1000, 99.9th(ms): 1000
[Current] STOCK_LEVEL - Takes(s): 9.4, Count: 7, TPM: 44.8, Sum(ms): 70, Avg(ms): 10, 90th(ms): 12, 99th(ms): 12, 99.9th(ms): 12
[Current] NEW_ORDER - Takes(s): 9.4, Count: 3, TPM: 19.2, Sum(ms): 5117, Avg(ms): 1705, 90th(ms): 4000, 99th(ms): 4000, 99.9th(ms): 4000
[Current] PAYMENT - Takes(s): 7.7, Count: 3, TPM: 23.4, Sum(ms): 4770, Avg(ms): 1590, 90th(ms): 2000, 99th(ms): 2000, 99.9th(ms): 2000
[Current] DELIVERY - Takes(s): 2.7, Count: 1, TPM: 22.4, Sum(ms): 3186, Avg(ms): 3186, 90th(ms): 4000, 99th(ms): 4000, 99.9th(ms): 4000
[Current] NEW_ORDER - Takes(s): 7.6, Count: 1, TPM: 7.9, Sum(ms): 1124, Avg(ms): 1124, 90th(ms): 1500, 99th(ms): 1500, 99.9th(ms): 1500
[Current] ORDER_STATUS - Takes(s): 8.7, Count: 1, TPM: 6.9, Sum(ms): 157, Avg(ms): 157, 90th(ms): 160, 99th(ms): 160, 99.9th(ms): 160
[Current] PAYMENT - Takes(s): 9.6, Count: 6, TPM: 37.6, Sum(ms): 5627, Avg(ms): 937, 90th(ms): 1500, 99th(ms): 1500, 99.9th(ms): 1500
[Current] NEW_ORDER - Takes(s): 3.4, Count: 1, TPM: 17.8, Sum(ms): 3831, Avg(ms): 3831, 90th(ms): 4000, 99th(ms): 4000, 99.9th(ms): 4000
[Current] ORDER_STATUS - Takes(s): 2.2, Count: 1, TPM: 27.6, Sum(ms): 13, Avg(ms): 13, 90th(ms): 16, 99th(ms): 16, 99.9th(ms): 16
[Current] PAYMENT - Takes(s): 7.2, Count: 2, TPM: 16.7, Sum(ms): 4552, Avg(ms): 2276, 90th(ms): 4000, 99th(ms): 4000, 99.9th(ms): 4000
[Current] NEW_ORDER - Takes(s): 9.8, Count: 4, TPM: 24.6, Sum(ms): 6581, Avg(ms): 1645, 90th(ms): 4000, 99th(ms): 4000, 99.9th(ms): 4000
[Current] PAYMENT - Takes(s): 7.9, Count: 1, TPM: 7.6, Sum(ms): 427, Avg(ms): 427, 90th(ms): 512, 99th(ms): 512, 99.9th(ms): 512
[Current] DELIVERY - Takes(s): 6.4, Count: 1, TPM: 9.4, Sum(ms): 8782, Avg(ms): 8782, 90th(ms): 16000, 99th(ms): 16000, 99.9th(ms): 16000
